Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.7
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 95.64
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 86.52
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.7
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 96.88
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.04
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.67999999999999
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 2, acc : 96.02000000000001
Parameter C : 5.623413251903491, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.14
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.84
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 2, acc : 98.2
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.72
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.94
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.06
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.8
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 97.06
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 97.66
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.94
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.89999999999999
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 2, acc : 96.41999999999999
Parameter C : 5.623413251903491, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.24000000000001
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.41999999999999
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 2, acc : 98.16
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.68
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.36
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.14
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.64
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.16
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 98.08
Parameter C : 5.623413251903491, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.92
